Variable Category,Variable Name,Definition and Calculation
Dependent Variable,Focal_ROA,Focal firm’s net profit / total assets
Key explanatory variable,Focal_GenAI_Index,ln(1 + the non-overlapping frequency of GenAI keywords in the MD&A)
Moderating variable,Focal_RnD_Ratio,Focal firm’s R&D expenditure / revenue
Moderating variable,Power_Pressure,Partner_Dominance × Partner_Ahead
Control variables,Focal_Size,"ln(total assets of focal firms, in millions of yuan)"
Control variables,Focal_Lev,Total liabilities / Total assets of the focal firm
Control variable,Focal_Age,Observation year − Year of establishment + 1
Control variable,Focal_CashFlow,Net cash flow from operating activities / Total assets
Control variable,Focal_SoE,Dummy variable for state ownership (state-owned = 1)
Control variable,Focal_HHI,Two-digit industry Herfindahl-Hirschman Index
Control variable,Partner_Size,"ln(Partner total assets, in millions)"
Control variable,Partner_Lev,Partner’s total liabilities / total assets
Control variable,Partner_ROA,Partner Net Profit / Total Assets
Extended control variables,Focal_Growth,Focal firm revenue growth rate (included only in the extended specification)
